Date,emerg_this_season,emergency
1990-02-16,0,1
1991-02-19,0,1
1991-02-23,1,1
1991-11-01,0,1
1991-11-05,1,1
1991-11-30,2,1
1991-12-05,3,1
1992-12-29,0,1
1993-11-25,0,1
1994-01-06,1,1
1994-01-16,2,1
1994-01-28,3,1
1994-11-27,0,1
1995-03-06,1,1
1995-11-27,0,1
1995-12-08,1,1
1995-12-13,2,1
1996-01-11,3,1
1996-03-25,4,1
1996-11-21,0,1
1996-11-24,1,1
1996-12-15,2,1
1996-12-23,3,1
1997-01-05,4,1
1998-01-12,0,1
1998-01-14,1,1
1998-01-25,2,1
1999-01-03,0,1
1999-01-12,1,1
1999-01-14,2,1
1999-01-18,3,1
1999-03-09,4,1
2000-01-12,0,1
2000-01-19,1,1
2005-01-21,0,1
2005-02-20,1,1
2005-12-14,0,1
2005-12-30,1,1
2006-03-13,2,1
2006-03-16,3,1
2007-02-25,0,1
2007-03-01,1,1
2007-12-02,0,1
2007-12-06,1,1
2007-12-23,2,1
2007-12-26,3,1
2008-12-20,0,1
2009-02-21,1,1
2009-02-26,2,1
2009-12-09,0,1
2009-12-25,1,1
2010-02-08,2,1
2010-11-13,0,1
2010-12-04,1,1
2010-12-11,2,1
2010-12-13,3,1
2010-12-20,4,1
2010-12-25,5,1
2011-01-31,6,1
2011-02-21,7,1
2012-12-09,0,1
2013-02-10,1,1
2013-03-05,2,1
2013-12-04,0,1
2013-12-17,1,1
2013-12-25,2,1
2014-01-14,3,1
2014-01-18,4,1
2014-01-30,5,1
2014-02-17,6,1
2014-02-20,7,1
2014-12-27,0,1
2015-12-29,0,1
2016-02-02,1,1
2016-12-11,0,1
2016-12-17,1,1
2017-01-11,2,1
2018-01-15,0,1
2018-01-22,1,1
2018-02-23,2,1
2018-02-25,3,1
2018-04-15,4,1
2019-01-28,0,1
2019-02-07,1,1
2019-02-12,2,1
2019-02-20,3,1
2019-02-24,4,1
2019-03-01,5,1
2019-03-10,6,1
2019-11-27,0,1
2019-12-30,1,1
2020-01-17,2,1
2020-02-09,3,1
