StationName,Date,AvgWindSpeed,PRCP,SNOW,SNWD,TMAX,TMIN,Fog,Heavy Fog,Thunder,Sleet,Hail,Glaze,Dust,Smoke,DrifitngSnow,Tornado,High Winds,Mist,Drizzle,FreezingDrizzle,Rain,FreezingRain,Snow,PrecipOther,GroundFog,FreezingFog
"LOWER ST. ANTHONY FALLS, MN US",1991-09-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-02,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-03,,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-04,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-05,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-06,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-07,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-08,,2.4,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-09,,0.73,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-10,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-11,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-12,,0.52,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-13,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-14,,1.9,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-15,,0.89,0,0,,,,,,,,,,,,,,,,,,,,,,
"LOWER ST. ANTHONY FALLS, MN US",1991-09-16,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
